customer_state,product_category_name,cluster,Count_state,Count_cluster,Average Price per state
AL,agro_industria_e_comercio,3,1,42,1476.3
AP,agro_industria_e_comercio,3,1,42,589.99
BA,agro_industria_e_comercio,0,5,174,451.4
BA,agro_industria_e_comercio,3,5,42,451.4
CE,agro_industria_e_comercio,0,6,174,75.48333333333333
ES,agro_industria_e_comercio,0,2,174,221.15
GO,agro_industria_e_comercio,0,7,174,328.34142857142854
GO,agro_industria_e_comercio,3,7,42,328.34142857142854
MA,agro_industria_e_comercio,0,1,174,559.99
MG,agro_industria_e_comercio,0,22,174,593.954090909091
MG,agro_industria_e_comercio,2,22,6,593.954090909091
MG,agro_industria_e_comercio,3,22,42,593.954090909091
MG,agro_industria_e_comercio,4,22,6,593.954090909091
MS,agro_industria_e_comercio,0,3,174,175.63
MT,agro_industria_e_comercio,0,2,174,265.0
PA,agro_industria_e_comercio,0,2,174,554.99
PA,agro_industria_e_comercio,3,2,42,554.99
PB,agro_industria_e_comercio,0,2,174,264.495
PE,agro_industria_e_comercio,0,5,174,1122.384
PE,agro_industria_e_comercio,3,5,42,1122.384
PE,agro_industria_e_comercio,4,5,6,1122.384
PI,agro_industria_e_comercio,0,3,174,106.32666666666667
PR,agro_industria_e_comercio,0,12,174,408.6275
PR,agro_industria_e_comercio,3,12,42,408.6275
RJ,agro_industria_e_comercio,0,44,174,214.56454545454545
RJ,agro_industria_e_comercio,3,44,42,214.56454545454545
RJ,agro_industria_e_comercio,4,44,6,214.56454545454545
RO,agro_industria_e_comercio,0,4,174,22.0
RS,agro_industria_e_comercio,0,9,174,350.6588888888889
RS,agro_industria_e_comercio,3,9,42,350.6588888888889
SC,agro_industria_e_comercio,0,3,174,356.66
SP,agro_industria_e_comercio,0,118,174,300.110593220339
SP,agro_industria_e_comercio,1,118,24,300.110593220339
SP,agro_industria_e_comercio,3,118,42,300.110593220339
SP,agro_industria_e_comercio,4,118,6,300.110593220339
AL,alimentos,2,1,58,189.9
AM,alimentos,2,1,58,149.9
BA,alimentos,0,14,181,63.07571428571429
BA,alimentos,1,14,135,63.07571428571429
BA,alimentos,2,14,58,63.07571428571429
CE,alimentos,0,5,181,69.738
CE,alimentos,1,5,135,69.738
CE,alimentos,2,5,58,69.738
CE,alimentos,4,5,130,69.738
DF,alimentos,0,6,181,56.695
DF,alimentos,2,6,58,56.695
DF,alimentos,4,6,130,56.695
ES,alimentos,0,14,181,68.83500000000001
ES,alimentos,1,14,135,68.83500000000001
ES,alimentos,2,14,58,68.83500000000001
ES,alimentos,4,14,130,68.83500000000001
GO,alimentos,0,7,181,56.92285714285714
GO,alimentos,1,7,135,56.92285714285714
GO,alimentos,4,7,130,56.92285714285714
MG,alimentos,0,39,181,58.08948717948717
MG,alimentos,1,39,135,58.08948717948717
MG,alimentos,2,39,58,58.08948717948717
MG,alimentos,3,39,7,58.08948717948717
MG,alimentos,4,39,130,58.08948717948717
MS,alimentos,0,4,181,96.065
MS,alimentos,1,4,135,96.065
MS,alimentos,2,4,58,96.065
MT,alimentos,0,7,181,104.91428571428571
MT,alimentos,2,7,58,104.91428571428571
MT,alimentos,3,7,7,104.91428571428571
MT,alimentos,4,7,130,104.91428571428571
PB,alimentos,0,4,181,76.975
PB,alimentos,1,4,135,76.975
PB,alimentos,2,4,58,76.975
PE,alimentos,0,14,181,49.67642857142857
PE,alimentos,1,14,135,49.67642857142857
PE,alimentos,2,14,58,49.67642857142857
PI,alimentos,2,1,58,149.9
PR,alimentos,0,31,181,57.38935483870968
PR,alimentos,1,31,135,57.38935483870968
PR,alimentos,2,31,58,57.38935483870968
PR,alimentos,4,31,130,57.38935483870968
RJ,alimentos,0,49,181,59.704897959183675
RJ,alimentos,1,49,135,59.704897959183675
RJ,alimentos,2,49,58,59.704897959183675
RJ,alimentos,4,49,130,59.704897959183675
RN,alimentos,0,2,181,34.95
RO,alimentos,1,1,135,98.99
RS,alimentos,0,14,181,57.87928571428571
RS,alimentos,1,14,135,57.87928571428571
RS,alimentos,2,14,58,57.87928571428571
RS,alimentos,4,14,130,57.87928571428571
SC,alimentos,0,16,181,46.715
SC,alimentos,1,16,135,46.715
SC,alimentos,4,16,130,46.715
SE,alimentos,0,1,181,18.45
SP,alimentos,0,280,181,55.00160714285715
SP,alimentos,1,280,135,55.00160714285715
SP,alimentos,2,280,58,55.00160714285715
SP,alimentos,3,280,7,55.00160714285715
SP,alimentos,4,280,130,55.00160714285715
AL,alimentos_bebidas,2,1,204,44.06
BA,alimentos_bebidas,0,8,60,68.8025
BA,alimentos_bebidas,2,8,204,68.8025
CE,alimentos_bebidas,2,4,204,72.965
CE,alimentos_bebidas,4,4,17,72.965
DF,alimentos_bebidas,0,4,60,77.6975
DF,alimentos_bebidas,2,4,204,77.6975
ES,alimentos_bebidas,0,7,60,44.42857142857143
ES,alimentos_bebidas,2,7,204,44.42857142857143
MA,alimentos_bebidas,0,3,60,47.660000000000004
MA,alimentos_bebidas,2,3,204,47.660000000000004
MG,alimentos_bebidas,0,26,60,73.61153846153846
MG,alimentos_bebidas,2,26,204,73.61153846153846
MG,alimentos_bebidas,3,26,5,73.61153846153846
MG,alimentos_bebidas,4,26,17,73.61153846153846
MS,alimentos_bebidas,2,1,204,18.6
PA,alimentos_bebidas,2,1,204,64.6
PE,alimentos_bebidas,2,6,204,139.50166666666667
PE,alimentos_bebidas,4,6,17,139.50166666666667
PI,alimentos_bebidas,4,1,17,215.56
PR,alimentos_bebidas,0,18,60,41.126666666666665
PR,alimentos_bebidas,2,18,204,41.126666666666665
RJ,alimentos_bebidas,0,56,60,58.78625
RJ,alimentos_bebidas,2,56,204,58.78625
RJ,alimentos_bebidas,3,56,5,58.78625
RN,alimentos_bebidas,2,4,204,89.0125
RN,alimentos_bebidas,4,4,17,89.0125
RS,alimentos_bebidas,0,6,60,41.5
RS,alimentos_bebidas,2,6,204,41.5
SC,alimentos_bebidas,2,3,204,30.23333333333333
SE,alimentos_bebidas,0,1,60,119.9
SP,alimentos_bebidas,0,140,60,49.14842857142857
SP,alimentos_bebidas,1,140,4,49.14842857142857
SP,alimentos_bebidas,2,140,204,49.14842857142857
SP,alimentos_bebidas,4,140,17,49.14842857142857
AM,artes,3,1,59,58.35
AP,artes,0,1,111,99.99
BA,artes,0,10,111,89.89500000000001
BA,artes,3,10,59,89.89500000000001
BA,artes,4,10,27,89.89500000000001
DF,artes,0,6,111,94.29833333333333
DF,artes,2,6,19,94.29833333333333
DF,artes,3,6,59,94.29833333333333
DF,artes,4,6,27,94.29833333333333
ES,artes,3,1,59,49.9
GO,artes,0,4,111,102.3925
MG,artes,0,19,111,75.87052631578948
MG,artes,3,19,59,75.87052631578948
MG,artes,4,19,27,75.87052631578948
MS,artes,4,1,27,129.99
MT,artes,0,1,111,69.99
PA,artes,0,2,111,84.945
PB,artes,0,1,111,110.99
PE,artes,0,1,111,110.99
PI,artes,2,2,19,110.99
PR,artes,0,9,111,78.97999999999999
PR,artes,3,9,59,78.97999999999999
PR,artes,4,9,27,78.97999999999999
RJ,artes,0,35,111,91.51114285714286
RJ,artes,2,35,19,91.51114285714286
RJ,artes,3,35,59,91.51114285714286
RJ,artes,4,35,27,91.51114285714286
RN,artes,0,1,111,79.99
RO,artes,0,2,111,74.32
RO,artes,3,2,59,74.32
RS,artes,0,9,111,67.93777777777777
RS,artes,3,9,59,67.93777777777777
SC,artes,0,6,111,70.365
SC,artes,3,6,59,70.365
SC,artes,4,6,27,70.365
SP,artes,0,105,111,143.26838095238097
SP,artes,1,105,1,143.26838095238097
SP,artes,2,105,19,143.26838095238097
SP,artes,3,105,59,143.26838095238097
SP,artes,4,105,27,143.26838095238097
AC,artigos_de_natal,2,1,58,69.9
BA,artigos_de_natal,0,10,70,70.321
BA,artigos_de_natal,2,10,58,70.321
BA,artigos_de_natal,3,10,5,70.321
CE,artigos_de_natal,2,2,58,79.9
DF,artigos_de_natal,0,8,70,38.9
DF,artigos_de_natal,2,8,58,38.9
DF,artigos_de_natal,4,8,8,38.9
ES,artigos_de_natal,4,1,8,116.9
GO,artigos_de_natal,1,3,7,120.56666666666668
GO,artigos_de_natal,2,3,58,120.56666666666668
MA,artigos_de_natal,4,1,8,116.9
MG,artigos_de_natal,0,19,70,66.9121052631579
MG,artigos_de_natal,1,19,7,66.9121052631579
MG,artigos_de_natal,2,19,58,66.9121052631579
MS,artigos_de_natal,0,2,70,17.8
MT,artigos_de_natal,2,1,58,79.9
PE,artigos_de_natal,0,4,70,93.1125
PE,artigos_de_natal,1,4,7,93.1125
PE,artigos_de_natal,4,4,8,93.1125
PR,artigos_de_natal,0,6,70,31.69333333333333
PR,artigos_de_natal,2,6,58,31.69333333333333
RJ,artigos_de_natal,0,15,70,41.02133333333334
RJ,artigos_de_natal,2,15,58,41.02133333333334
RJ,artigos_de_natal,4,15,8,41.02133333333334
RN,artigos_de_natal,0,1,70,19.83
RO,artigos_de_natal,2,2,58,69.45
RS,artigos_de_natal,0,6,70,80.81666666666668
RS,artigos_de_natal,1,6,7,80.81666666666668
RS,artigos_de_natal,2,6,58,80.81666666666668
RS,artigos_de_natal,4,6,8,80.81666666666668
SC,artigos_de_natal,0,14,70,64.15142857142857
SC,artigos_de_natal,2,14,58,64.15142857142857
SC,artigos_de_natal,3,14,5,64.15142857142857
SP,artigos_de_natal,0,52,70,41.73076923076923
SP,artigos_de_natal,2,52,58,41.73076923076923
SP,artigos_de_natal,3,52,5,41.73076923076923
SP,artigos_de_natal,4,52,8,41.73076923076923
AL,audio,0,4,141,80.025
AL,audio,4,4,108,80.025
AM,audio,4,1,108,89.9
BA,audio,0,14,141,102.19214285714285
BA,audio,1,14,51,102.19214285714285
BA,audio,4,14,108,102.19214285714285
CE,audio,0,6,141,160.315
CE,audio,1,6,51,160.315
CE,audio,2,6,75,160.315
CE,audio,4,6,108,160.315
DF,audio,0,16,141,128.014375
DF,audio,1,16,51,128.014375
DF,audio,2,16,75,128.014375
DF,audio,4,16,108,128.014375
ES,audio,0,14,141,85.55571428571429
ES,audio,2,14,75,85.55571428571429
ES,audio,4,14,108,85.55571428571429
GO,audio,0,7,141,282.1257142857143
GO,audio,1,7,51,282.1257142857143
GO,audio,2,7,75,282.1257142857143
GO,audio,4,7,108,282.1257142857143
MA,audio,0,3,141,244.62666666666667
MA,audio,1,3,51,244.62666666666667
MA,audio,4,3,108,244.62666666666667
MG,audio,0,37,141,153.42945945945948
MG,audio,1,37,51,153.42945945945948
MG,audio,2,37,75,153.42945945945948
MG,audio,4,37,108,153.42945945945948
MS,audio,2,1,75,190.9
MT,audio,0,4,141,167.95
MT,audio,1,4,51,167.95
MT,audio,2,4,75,167.95
PA,audio,1,1,51,568.0
PB,audio,4,1,108,79.0
PE,audio,0,4,141,110.4475
PE,audio,2,4,75,110.4475
PE,audio,4,4,108,110.4475
PI,audio,0,5,141,51.92
PI,audio,2,5,75,51.92
PR,audio,0,19,141,151.1142105263158
PR,audio,1,19,51,151.1142105263158
PR,audio,2,19,75,151.1142105263158
PR,audio,4,19,108,151.1142105263158
RJ,audio,0,59,141,169.14305084745763
RJ,audio,1,59,51,169.14305084745763
RJ,audio,2,59,75,169.14305084745763
RJ,audio,3,59,2,169.14305084745763
RJ,audio,4,59,108,169.14305084745763
RN,audio,2,1,75,189.0
RS,audio,0,17,141,143.29999999999998
RS,audio,1,17,51,143.29999999999998
RS,audio,2,17,75,143.29999999999998
RS,audio,4,17,108,143.29999999999998
SC,audio,0,12,141,156.03833333333333
SC,audio,1,12,51,156.03833333333333
SC,audio,2,12,75,156.03833333333333
SC,audio,4,12,108,156.03833333333333
SP,audio,0,150,141,120.34720000000002
SP,audio,1,150,51,120.34720000000002
SP,audio,2,150,75,120.34720000000002
SP,audio,4,150,108,120.34720000000002
TO,audio,2,1,75,175.0
AC,automotivo,0,5,787,121.394
AC,automotivo,2,5,3282,121.394
AL,automotivo,0,21,787,160.88761904761904
AL,automotivo,2,21,3282,160.88761904761904
AL,automotivo,4,21,196,160.88761904761904
AM,automotivo,0,6,787,120.64999999999999
AM,automotivo,2,6,3282,120.64999999999999
AP,automotivo,0,3,787,405.4633333333333
AP,automotivo,2,3,3282,405.4633333333333
AP,automotivo,4,3,196,405.4633333333333
BA,automotivo,0,162,787,189.46234567901234
BA,automotivo,2,162,3282,189.46234567901234
BA,automotivo,3,162,77,189.46234567901234
BA,automotivo,4,162,196,189.46234567901234
CE,automotivo,0,61,787,231.07360655737705
CE,automotivo,1,61,14,231.07360655737705
CE,automotivo,2,61,3282,231.07360655737705
CE,automotivo,3,61,77,231.07360655737705
CE,automotivo,4,61,196,231.07360655737705
DF,automotivo,0,113,787,154.76141592920354
DF,automotivo,2,113,3282,154.76141592920354
DF,automotivo,3,113,77,154.76141592920354
DF,automotivo,4,113,196,154.76141592920354
ES,automotivo,0,91,787,158.23032967032967
ES,automotivo,1,91,14,158.23032967032967
ES,automotivo,2,91,3282,158.23032967032967
ES,automotivo,4,91,196,158.23032967032967
GO,automotivo,0,80,787,118.208125
GO,automotivo,2,80,3282,118.208125
GO,automotivo,3,80,77,118.208125
MA,automotivo,0,41,787,133.8892682926829
MA,automotivo,2,41,3282,133.8892682926829
MA,automotivo,4,41,196,133.8892682926829
MG,automotivo,0,537,787,140.17970204860336
MG,automotivo,2,537,3282,140.17970204860336
MG,automotivo,3,537,77,140.17970204860336
MG,automotivo,4,537,196,140.17970204860336
MS,automotivo,0,26,787,274.71730769230766
MS,automotivo,2,26,3282,274.71730769230766
MS,automotivo,3,26,77,274.71730769230766
MS,automotivo,4,26,196,274.71730769230766
MT,automotivo,0,61,787,200.95754098360655
MT,automotivo,1,61,14,200.95754098360655
MT,automotivo,2,61,3282,200.95754098360655
MT,automotivo,3,61,77,200.95754098360655
MT,automotivo,4,61,196,200.95754098360655
PA,automotivo,0,53,787,149.08622641509433
PA,automotivo,2,53,3282,149.08622641509433
PA,automotivo,3,53,77,149.08622641509433
PA,automotivo,4,53,196,149.08622641509433
PB,automotivo,0,25,787,174.45080000000002
PB,automotivo,2,25,3282,174.45080000000002
PB,automotivo,4,25,196,174.45080000000002
PE,automotivo,0,87,787,143.10287356206896
PE,automotivo,2,87,3282,143.10287356206896
PE,automotivo,4,87,196,143.10287356206896
PI,automotivo,0,35,787,291.7022857142857
PI,automotivo,2,35,3282,291.7022857142857
PI,automotivo,3,35,77,291.7022857142857
PI,automotivo,4,35,196,291.7022857142857
PR,automotivo,0,239,787,119.71887029288703
PR,automotivo,2,239,3282,119.71887029288703
PR,automotivo,3,239,77,119.71887029288703
PR,automotivo,4,239,196,119.71887029288703
RJ,automotivo,0,458,787,146.82561135368996
RJ,automotivo,2,458,3282,146.82561135368996
RJ,automotivo,3,458,77,146.82561135368996
RJ,automotivo,4,458,196,146.82561135368996
RN,automotivo,0,20,787,215.829
RN,automotivo,2,20,3282,215.829
RN,automotivo,3,20,77,215.829
RN,automotivo,4,20,196,215.829
RO,automotivo,2,10,3282,138.916
RO,automotivo,4,10,196,138.916
RR,automotivo,0,1,787,219.9
RS,automotivo,0,195,787,141.05841025641024
RS,automotivo,2,195,3282,141.05841025641024
RS,automotivo,3,195,77,141.05841025641024
RS,automotivo,4,195,196,141.05841025641024
SC,automotivo,0,186,787,140.57940860215055
SC,automotivo,2,186,3282,140.57940860215055
SC,automotivo,3,186,77,140.57940860215055
SC,automotivo,4,186,196,140.57940860215055
SE,automotivo,0,21,787,113.04190476190476
SE,automotivo,2,21,3282,113.04190476190476
SP,automotivo,0,1803,787,122.87049916804216
SP,automotivo,1,1803,14,122.87049916804216
SP,automotivo,2,1803,3282,122.87049916804216
SP,automotivo,3,1803,77,122.87049916804216
SP,automotivo,4,1803,196,122.87049916804216
TO,automotivo,0,16,787,151.1775
TO,automotivo,2,16,3282,151.1775
TO,automotivo,4,16,196,151.1775
AC,bebes,0,3,2601,232.61333333333334
AC,bebes,3,3,422,232.61333333333334
AL,bebes,0,7,2601,104.11
AM,bebes,0,5,2601,131.538
AM,bebes,3,5,422,131.538
BA,bebes,0,105,2601,148.9952380952381
BA,bebes,2,105,130,148.9952380952381
BA,bebes,3,105,422,148.9952380952381
CE,bebes,0,32,2601,143.695
CE,bebes,2,32,130,143.695
CE,bebes,3,32,422,143.695
DF,bebes,0,69,2601,126.8604347826087
DF,bebes,2,69,130,126.8604347826087
DF,bebes,3,69,422,126.8604347826087
ES,bebes,0,62,2601,135.01048387096773
ES,bebes,2,62,130,135.01048387096773
ES,bebes,3,62,422,135.01048387096773
GO,bebes,0,62,2601,166.90354838709678
GO,bebes,2,62,130,166.90354838709678
GO,bebes,3,62,422,166.90354838709678
MA,bebes,0,27,2601,195.38074074074072
MA,bebes,2,27,130,195.38074074074072
MA,bebes,3,27,422,195.38074074074072
MG,bebes,0,385,2601,127.37620779220781
MG,bebes,2,385,130,127.37620779220781
MG,bebes,3,385,422,127.37620779220781
MG,bebes,4,385,15,127.37620779220781
MS,bebes,0,31,2601,148.7167741935484
MS,bebes,2,31,130,148.7167741935484
MS,bebes,3,31,422,148.7167741935484
MT,bebes,0,36,2601,195.4036111111111
MT,bebes,2,36,130,195.4036111111111
MT,bebes,3,36,422,195.4036111111111
PA,bebes,0,45,2601,222.2811111111111
PA,bebes,2,45,130,222.2811111111111
PA,bebes,3,45,422,222.2811111111111
PB,bebes,0,13,2601,154.04384615384615
PB,bebes,2,13,130,154.04384615384615
PB,bebes,3,13,422,154.04384615384615
PE,bebes,0,42,2601,115.93619047619048
PE,bebes,3,42,422,115.93619047619048
PI,bebes,0,12,2601,357.7575
PI,bebes,2,12,130,357.7575
PI,bebes,3,12,422,357.7575
PR,bebes,0,167,2601,132.81586826413175
PR,bebes,2,167,130,132.81586826413175
PR,bebes,3,167,422,132.81586826413175
PR,bebes,4,167,15,132.81586826413175
RJ,bebes,0,374,2601,117.04491978609626
RJ,bebes,2,374,130,117.04491978609626
RJ,bebes,3,374,422,117.04491978609626
RJ,bebes,4,374,15,117.04491978609626
RN,bebes,0,22,2601,377.1081818181818
RN,bebes,1,22,9,377.1081818181818
RN,bebes,3,22,422,377.1081818181818
RO,bebes,0,11,2601,201.3081818181818
RO,bebes,2,11,130,201.3081818181818
RO,bebes,3,11,422,201.3081818181818
RR,bebes,0,2,2601,494.435
RR,bebes,2,2,130,494.435
RS,bebes,0,218,2601,134.48311926605504
RS,bebes,2,218,130,134.48311926605504
RS,bebes,3,218,422,134.48311926605504
RS,bebes,4,218,15,134.48311926605504
SC,bebes,0,113,2601,141.2253982300885
SC,bebes,2,113,130,141.2253982300885
SC,bebes,3,113,422,141.2253982300885
SC,bebes,4,113,15,141.2253982300885
SE,bebes,0,8,2601,180.93625
SE,bebes,3,8,422,180.93625
SP,bebes,0,1319,2601,125.91986353297952
SP,bebes,1,1319,9,125.91986353297952
SP,bebes,2,1319,130,125.91986353297952
SP,bebes,3,1319,422,125.91986353297952
SP,bebes,4,1319,15,125.91986353297952
TO,bebes,0,7,2601,311.3757142857143
TO,bebes,2,7,130,311.3757142857143
TO,bebes,3,7,422,311.3757142857143
AL,bebidas,0,1,256,15.49
AM,bebidas,0,1,256,47.49
BA,bebidas,0,5,256,80.25800000000001
BA,bebidas,4,5,92,80.25800000000001
CE,bebidas,4,4,92,51.49
DF,bebidas,0,5,256,58.474000000000004
DF,bebidas,4,5,92,58.474000000000004
ES,bebidas,0,5,256,109.28400000000002
ES,bebidas,2,5,20,109.28400000000002
ES,bebidas,4,5,92,109.28400000000002
GO,bebidas,0,7,256,55.08142857142857
GO,bebidas,4,7,92,55.08142857142857
MG,bebidas,0,26,256,74.63846153846154
MG,bebidas,2,26,20,74.63846153846154
MG,bebidas,3,26,6,74.63846153846154
MG,bebidas,4,26,92,74.63846153846154
MS,bebidas,0,4,256,49.99
MT,bebidas,0,1,256,19.49
PA,bebidas,4,1,92,105.0
PI,bebidas,4,1,92,90.0
PR,bebidas,0,15,256,96.62133333333333
PR,bebidas,2,15,20,96.62133333333333
PR,bebidas,3,15,6,96.62133333333333
PR,bebidas,4,15,92,96.62133333333333
RJ,bebidas,0,56,256,102.80785714285715
RJ,bebidas,1,56,10,102.80785714285715
RJ,bebidas,2,56,20,102.80785714285715
RJ,bebidas,4,56,92,102.80785714285715
RS,bebidas,0,18,256,59.635555555555555
RS,bebidas,4,18,92,59.635555555555555
SC,bebidas,0,14,256,63.707857142857144
SC,bebidas,2,14,20,63.707857142857144
SC,bebidas,4,14,92,63.707857142857144
SP,bebidas,0,220,256,42.81940909090909
SP,bebidas,2,220,20,42.81940909090909
SP,bebidas,3,220,6,42.81940909090909
SP,bebidas,4,220,92,42.81940909090909
AC,beleza_saude,0,7,1763,198.08285714285714
AC,beleza_saude,2,7,7501,198.08285714285714
AC,beleza_saude,4,7,493,198.08285714285714
AL,beleza_saude,0,68,1763,200.55308823529413
AL,beleza_saude,2,68,7501,200.55308823529413
AL,beleza_saude,3,68,164,200.55308823529413
AL,beleza_saude,4,68,493,200.55308823529413
AM,beleza_saude,0,21,1763,139.31809523809525
AM,beleza_saude,2,21,7501,139.31809523809525
AM,beleza_saude,3,21,164,139.31809523809525
AP,beleza_saude,0,10,1763,138.058
AP,beleza_saude,2,10,7501,138.058
BA,beleza_saude,0,390,1763,143.30666666666667
BA,beleza_saude,2,390,7501,143.30666666666667
BA,beleza_saude,3,390,164,143.30666666666667
BA,beleza_saude,4,390,493,143.30666666666667
CE,beleza_saude,0,172,1763,198.0086046511628
CE,beleza_saude,1,172,23,198.0086046511628
CE,beleza_saude,2,172,7501,198.0086046511628
CE,beleza_saude,3,172,164,198.0086046511628
CE,beleza_saude,4,172,493,198.0086046511628
DF,beleza_saude,0,251,1763,121.56776892430278
DF,beleza_saude,1,251,23,121.56776892430278
DF,beleza_saude,2,251,7501,121.56776892430278
DF,beleza_saude,3,251,164,121.56776892430278
DF,beleza_saude,4,251,493,121.56776892430278
ES,beleza_saude,0,167,1763,121.09634730538922
ES,beleza_saude,2,167,7501,121.09634730538922
ES,beleza_saude,3,167,164,121.09634730538922
ES,beleza_saude,4,167,493,121.09634730538922
GO,beleza_saude,0,233,1763,123.8720600858369
GO,beleza_saude,2,233,7501,123.8720600858369
GO,beleza_saude,4,233,493,123.8720600858369
MA,beleza_saude,0,90,1763,145.19055555555556
MA,beleza_saude,2,90,7501,145.19055555555556
MA,beleza_saude,4,90,493,145.19055555555556
MG,beleza_saude,0,1101,1763,143.5684922797457
MG,beleza_saude,1,1101,23,143.5684922797457
MG,beleza_saude,2,1101,7501,143.5684922797457
MG,beleza_saude,3,1101,164,143.5684922797457
MG,beleza_saude,4,1101,493,143.5684922797457
MS,beleza_saude,0,68,1763,182.10970588235293
MS,beleza_saude,2,68,7501,182.10970588235293
MS,beleza_saude,3,68,164,182.10970588235293
MS,beleza_saude,4,68,493,182.10970588235293
MT,beleza_saude,0,92,1763,168.30097826097827
MT,beleza_saude,1,92,23,168.30097826097827
MT,beleza_saude,2,92,7501,168.30097826097827
MT,beleza_saude,3,92,164,168.30097826097827
MT,beleza_saude,4,92,493,168.30097826097827
PA,beleza_saude,0,108,1763,221.6279629638889
PA,beleza_saude,2,108,7501,221.6279629638889
PA,beleza_saude,3,108,164,221.6279629638889
PA,beleza_saude,4,108,493,221.6279629638889
PB,beleza_saude,0,84,1763,204.32119047619048
PB,beleza_saude,2,84,7501,204.32119047619048
PB,beleza_saude,3,84,164,204.32119047619048
PB,beleza_saude,4,84,493,204.32119047619048
PE,beleza_saude,0,237,1763,175.2046835443038
PE,beleza_saude,2,237,7501,175.2046835443038
PE,beleza_saude,3,237,164,175.2046835443038
PE,beleza_saude,4,237,493,175.2046835443038
PI,beleza_saude,0,57,1763,197.28947368421052
PI,beleza_saude,2,57,7501,197.28947368421052
PI,beleza_saude,3,57,164,197.28947368421052
PI,beleza_saude,4,57,493,197.28947368421052
PR,beleza_saude,0,431,1763,128.98122969837587
PR,beleza_saude,2,431,7501,128.98122969837587
PR,beleza_saude,3,431,164,128.98122969837587
PR,beleza_saude,4,431,493,128.98122969837587
RJ,beleza_saude,0,1098,1763,133.17719489981783
RJ,beleza_saude,2,1098,7501,133.17719489981783
RJ,beleza_saude,3,1098,164,133.17719489981783
RJ,beleza_saude,4,1098,493,133.17719489981783
RN,beleza_saude,0,68,1763,254.5039705882353
RN,beleza_saude,1,68,23,254.5039705882353
RN,beleza_saude,2,68,7501,254.5039705882353
RN,beleza_saude,3,68,164,254.5039705882353
RN,beleza_saude,4,68,493,254.5039705882353
RO,beleza_saude,0,28,1763,260.86642857142857
RO,beleza_saude,2,28,7501,260.86642857142857
RO,beleza_saude,3,28,164,260.86642857142857
RO,beleza_saude,4,28,493,260.86642857142857
RR,beleza_saude,0,7,1763,150.08714285714285
RR,beleza_saude,2,7,7501,150.08714285714285
RR,beleza_saude,4,7,493,150.08714285714285
RS,beleza_saude,0,456,1763,123.27655701754387
RS,beleza_saude,1,456,23,123.27655701754387
RS,beleza_saude,2,456,7501,123.27655701754387
RS,beleza_saude,3,456,164,123.27655701754387
RS,beleza_saude,4,456,493,123.27655701754387
SC,beleza_saude,0,315,1763,127.47638095238095
SC,beleza_saude,2,315,7501,127.47638095238095
SC,beleza_saude,3,315,164,127.47638095238095
SC,beleza_saude,4,315,493,127.47638095238095
SE,beleza_saude,0,40,1763,222.0915
SE,beleza_saude,2,40,7501,222.0915
SE,beleza_saude,4,40,493,222.0915
SP,beleza_saude,0,4309,1763,109.44621721981991
SP,beleza_saude,1,4309,23,109.44621721981991
SP,beleza_saude,2,4309,7501,109.44621721981991
SP,beleza_saude,3,4309,164,109.44621721981991
SP,beleza_saude,4,4309,493,109.44621721981991
TO,beleza_saude,0,36,1763,133.30527777777777
TO,beleza_saude,2,36,7501,133.30527777777777
TO,beleza_saude,4,36,493,133.30527777777777
AC,brinquedos,1,3,3345,78.26333333333334
AL,brinquedos,0,12,701,87.75583333333333
AL,brinquedos,1,12,3345,87.75583333333333
AM,brinquedos,0,7,701,103.08000000000001
AM,brinquedos,1,7,3345,103.08000000000001
AP,brinquedos,0,3,701,99.28000000000002
AP,brinquedos,1,3,3345,99.28000000000002
BA,brinquedos,0,128,701,123.493671875
BA,brinquedos,1,128,3345,123.493671875
