customer_state,product_category_name,Count_industry,Average Price per state
SP,cama_mesa_banho,5603,90.05161342135284
RS,cama_mesa_banho,670,94.47867164167164
PB,cama_mesa_banho,32,105.14031250000001
SC,cama_mesa_banho,348,94.74008620721264
RJ,cama_mesa_banho,1761,90.7029926177683
MG,cama_mesa_banho,1406,97.73647226173543
PR,cama_mesa_banho,484,98.69683884297521
ES,cama_mesa_banho,241,99.34248962655602
MT,cama_mesa_banho,70,101.54985714142857
PA,cama_mesa_banho,42,88.36690476190476
DF,cama_mesa_banho,220,77.57586363595453
BA,cama_mesa_banho,273,96.84021978021978
PE,cama_mesa_banho,92,101.90771739130435
MS,cama_mesa_banho,74,86.89864864864865
MA,cama_mesa_banho,40,107.58075000000001
GO,cama_mesa_banho,253,97.23383399241106
CE,cama_mesa_banho,89,82.08078651685393
PI,cama_mesa_banho,33,105.72272727303032
RN,cama_mesa_banho,34,104.67764705588236
SE,cama_mesa_banho,15,120.81133333333334
AM,cama_mesa_banho,9,87.9
AL,cama_mesa_banho,19,105.58631578947369
RO,cama_mesa_banho,15,115.48466666666667
TO,cama_mesa_banho,10,101.083
AP,cama_mesa_banho,6,111.58333333333333
AC,cama_mesa_banho,4,141.925
RR,cama_mesa_banho,3,203.23333333333332
SP,beleza_saude,4309,109.44621721981991
PE,beleza_saude,237,175.2046835443038
MG,beleza_saude,1101,143.5684922797457
PR,beleza_saude,431,128.98122969837587
RS,beleza_saude,456,123.27655701754387
BA,beleza_saude,390,143.30666666666667
RJ,beleza_saude,1098,133.17719489981783
SC,beleza_saude,315,127.47638095238095
GO,beleza_saude,233,123.8720600858369
DF,beleza_saude,251,121.56776892430278
TO,beleza_saude,36,133.30527777777777
AL,beleza_saude,68,200.55308823529413
PA,beleza_saude,108,221.6279629638889
AM,beleza_saude,21,139.31809523809525
CE,beleza_saude,172,198.0086046511628
MS,beleza_saude,68,182.10970588235293
RO,beleza_saude,28,260.86642857142857
MA,beleza_saude,90,145.19055555555556
RN,beleza_saude,68,254.5039705882353
MT,beleza_saude,92,168.30097826097827
ES,beleza_saude,167,121.09634730538922
PB,beleza_saude,84,204.32119047619048
AC,beleza_saude,7,198.08285714285714
PI,beleza_saude,57,197.28947368421052
SE,beleza_saude,40,222.0915
AP,beleza_saude,10,138.058
RR,beleza_saude,7,150.08714285714285
DF,esporte_lazer,227,101.86629955947137
BA,esporte_lazer,307,131.044332247557
RS,esporte_lazer,499,111.15905811617235
SP,esporte_lazer,3806,105.2717945349422
RJ,esporte_lazer,1082,123.93158964879854
CE,esporte_lazer,94,113.49212765957446
PE,esporte_lazer,151,135.43582781456954
MG,esporte_lazer,1004,115.3496912350498
MS,esporte_lazer,82,119.46451219512196
PR,esporte_lazer,490,119.96420408163264
GO,esporte_lazer,172,119.95325581395349
ES,esporte_lazer,179,113.76307262569833
PI,esporte_lazer,35,163.87685714285712
PA,esporte_lazer,84,146.83261904761906
RN,esporte_lazer,23,181.7982608695652
AL,esporte_lazer,34,116.63764705882352
SC,esporte_lazer,373,121.98458445040214
PB,esporte_lazer,35,142.13485714285716
MT,esporte_lazer,77,125.23272727272727
SE,esporte_lazer,35,89.05485714285714
TO,esporte_lazer,26,212.82
MA,esporte_lazer,65,131.32399999999998
AM,esporte_lazer,14,109.10714285714286
AC,esporte_lazer,9,186.38444444444445
RO,esporte_lazer,21,160.51809523809524
AP,esporte_lazer,8,110.96125
RR,esporte_lazer,8,168.825
RS,moveis_decoracao,575,97.03193043476523
SP,moveis_decoracao,3759,81.28769087522214
MG,moveis_decoracao,1001,84.1254845151948
RJ,moveis_decoracao,1151,91.08718505647263
DF,moveis_decoracao,157,78.22292993624204
SC,moveis_decoracao,360,91.04894444444446
GO,moveis_decoracao,127,100.11724409448819
MS,moveis_decoracao,65,88.764
PR,moveis_decoracao,541,95.41818853974122
PE,moveis_decoracao,100,97.6617999999
RN,moveis_decoracao,29,111.7751724137931
BA,moveis_decoracao,268,92.44287313432835
AL,moveis_decoracao,34,109.21441176470589
MA,moveis_decoracao,48,94.73604166666667
CE,moveis_decoracao,90,103.68044444444445
ES,moveis_decoracao,146,88.35082191767123
MT,moveis_decoracao,68,91.1189705882353
TO,moveis_decoracao,18,113.72722222222222
PA,moveis_decoracao,74,127.04243243243242
RR,moveis_decoracao,6,98.49833333333333
PB,moveis_decoracao,44,107.5343181818182
SE,moveis_decoracao,25,136.3436
AC,moveis_decoracao,12,109.70333333333333
AM,moveis_decoracao,4,53.82
RO,moveis_decoracao,13,118.85999999230769
PI,moveis_decoracao,22,68.88272727272728
AP,moveis_decoracao,3,90.26666666666667
SP,informatica_acessorios,3255,110.16235330277112
MG,informatica_acessorios,1036,110.77072393823359
PR,informatica_acessorios,398,113.26733668339195
RS,informatica_acessorios,521,123.13007677541266
RJ,informatica_acessorios,1032,118.53583333334304
ES,informatica_acessorios,154,99.41396103902598
PE,informatica_acessorios,113,120.60884955752212
SE,informatica_acessorios,36,112.58055555555556
BA,informatica_acessorios,267,129.90310861460674
RN,informatica_acessorios,32,87.5396875
GO,informatica_acessorios,126,110.9057936515873
SC,informatica_acessorios,332,115.92
CE,informatica_acessorios,105,138.61533333333333
DF,informatica_acessorios,170,150.37582352941178
MS,informatica_acessorios,63,156.8061904761905
MA,informatica_acessorios,76,167.68723684210525
AL,informatica_acessorios,41,188.1551219512195
PA,informatica_acessorios,95,135.31252631578948
PB,informatica_acessorios,56,125.99589285714286
MT,informatica_acessorios,73,124.62849315068492
PI,informatica_acessorios,35,147.31885714285713
TO,informatica_acessorios,23,197.5813043478261
AC,informatica_acessorios,9,143.38666666666666
RO,informatica_acessorios,23,90.50304347826088
RR,informatica_acessorios,5,93.602
AP,informatica_acessorios,10,225.452
AM,informatica_acessorios,19,99.98473684210526
SP,utilidades_domesticas,3451,84.5699217617879
PR,utilidades_domesticas,367,98.81239782013623
RJ,utilidades_domesticas,929,87.83123789020452
MG,utilidades_domesticas,880,91.73607954544319
GO,utilidades_domesticas,135,112.014
BA,utilidades_domesticas,170,103.17747058823528
ES,utilidades_domesticas,116,102.56310344827585
MT,utilidades_domesticas,55,70.24345454545454
RS,utilidades_domesticas,446,88.59973094168161
DF,utilidades_domesticas,159,82.34440251559748
SC,utilidades_domesticas,269,101.09728624542751
PA,utilidades_domesticas,40,124.30025
PE,utilidades_domesticas,65,88.77353846153846
TO,utilidades_domesticas,16,84.346874999375
MA,utilidades_domesticas,24,99.36500000000001
CE,utilidades_domesticas,60,138.82533333333333
RN,utilidades_domesticas,26,72.91807692307692
SE,utilidades_domesticas,11,131.5890909090909
MS,utilidades_domesticas,40,280.29325
PB,utilidades_domesticas,23,106.24782608695651
AL,utilidades_domesticas,10,102.036
PI,utilidades_domesticas,21,125.67571428571429
AM,utilidades_domesticas,4,102.17250000000001
AP,utilidades_domesticas,4,122.6225
AC,utilidades_domesticas,4,128.26500000000001
RO,utilidades_domesticas,6,114.32833333333333
SP,relogios_presentes,2341,192.17578812472874
RJ,relogios_presentes,878,212.68668564919133
RS,relogios_presentes,241,209.76883817431533
SC,relogios_presentes,190,185.07542105263158
MG,relogios_presentes,647,196.38901081916538
RN,relogios_presentes,48,208.38375
PR,relogios_presentes,326,189.99963190184047
BA,relogios_presentes,245,209.78163265306122
TO,relogios_presentes,30,181.56300000000002
ES,relogios_presentes,150,183.68800000000002
CE,relogios_presentes,150,206.7052
DF,relogios_presentes,152,219.76486842105265
PI,relogios_presentes,44,185.45409090909092
PE,relogios_presentes,177,182.9020903955932
PB,relogios_presentes,44,327.0177272727273
AL,relogios_presentes,38,334.0573684210526
PA,relogios_presentes,78,312.6442307692308
SE,relogios_presentes,20,144.8
GO,relogios_presentes,158,241.07417721518988
MT,relogios_presentes,62,244.77112903225805
RO,relogios_presentes,15,303.5513333333334
MS,relogios_presentes,40,165.5075
MA,relogios_presentes,63,164.1288888888889
AM,relogios_presentes,10,174.13600000000002
AC,relogios_presentes,5,470.23999999999995
AP,relogios_presentes,8,204.975
RR,relogios_presentes,1,219.0
SC,telefonia,178,75.35606741573034
BA,telefonia,269,92.83434944237918
SE,telefonia,31,78.73677419354838
MG,telefonia,495,72.73040404040404
DF,telefonia,101,67.67762376237623
SP,telefonia,1706,63.37407385697538
PA,telefonia,77,91.9261038961039
MT,telefonia,68,51.656323529411765
AP,telefonia,4,76.19500000000001
CE,telefonia,102,74.56676470588236
PE,telefonia,134,81.8010447761194
ES,telefonia,113,82.25203539823008
RS,telefonia,294,65.28969387755102
GO,telefonia,131,48.62442748091603
AC,telefonia,5,220.792
RJ,telefonia,439,87.50886104783599
RN,telefonia,32,177.7825
PR,telefonia,260,53.31061538461539
MA,telefonia,66,76.62151515151515
PB,telefonia,27,117.49703703703705
TO,telefonia,21,60.38666666666667
RO,telefonia,19,34.58736842105263
AL,telefonia,29,155.90137931034485
RR,telefonia,4,25.1075
MS,telefonia,28,52.70321428571429
PI,telefonia,42,84.29904761904761
AM,telefonia,15,51.06666666666667
RJ,ferramentas_jardim,692,111.37157514450868
RR,ferramentas_jardim,2,105.0
TO,ferramentas_jardim,13,92.79230769230769
MG,ferramentas_jardim,628,98.47299363057326
RS,ferramentas_jardim,302,124.842880794702
RO,ferramentas_jardim,7,79.34285714285714
SP,ferramentas_jardim,1625,100.17372923076923
PR,ferramentas_jardim,228,96.20495614035087
MA,ferramentas_jardim,24,90.64458333333333
MS,ferramentas_jardim,23,222.1504347826087
CE,ferramentas_jardim,62,105.29725806451613
SC,ferramentas_jardim,185,129.80124324324325
DF,ferramentas_jardim,56,164.23535714285714
GO,ferramentas_jardim,120,131.94308333333333
BA,ferramentas_jardim,183,133.76633879781423
PI,ferramentas_jardim,19,203.5921052631579
PE,ferramentas_jardim,75,107.54146666666666
AL,ferramentas_jardim,15,116.538
ES,ferramentas_jardim,107,101.56196261672898
PA,ferramentas_jardim,34,163.4329411764706
SE,ferramentas_jardim,31,116.51387096774194
PB,ferramentas_jardim,14,395.0078571428571
RN,ferramentas_jardim,21,153.37666666666667
MT,ferramentas_jardim,82,242.64060975609755
AM,ferramentas_jardim,5,396.17600000000004
AP,ferramentas_jardim,2,119.995
AC,ferramentas_jardim,2,314.5
GO,automotivo,80,118.208125
PR,automotivo,239,119.71887029288703
RJ,automotivo,458,146.82561135368996
SP,automotivo,1803,122.87049916804216
BA,automotivo,162,189.46234567901234
PA,automotivo,53,149.08622641509433
DF,automotivo,113,154.76141592920354
MA,automotivo,41,133.8892682926829
PE,automotivo,87,143.10287356206896
MG,automotivo,537,140.17970204860336
ES,automotivo,91,158.23032967032967
SC,automotivo,186,140.57940860215055
RS,automotivo,195,141.05841025641024
MT,automotivo,61,200.95754098360655
CE,automotivo,61,231.07360655737705
PI,automotivo,35,291.7022857142857
PB,automotivo,25,174.45080000000002
AL,automotivo,21,160.88761904761904
SE,automotivo,21,113.04190476190476
AC,automotivo,5,121.394
MS,automotivo,26,274.71730769230766
TO,automotivo,16,151.1775
RN,automotivo,20,215.829
AM,automotivo,6,120.64999999999999
RO,automotivo,10,138.916
RR,automotivo,1,219.9
AP,automotivo,3,405.4633333333333
SP,brinquedos,1756,107.7286958997779
RJ,brinquedos,595,124.15126050420169
RS,brinquedos,223,133.3332735426009
PE,brinquedos,69,134.99405797101448
DF,brinquedos,101,123.60336633762375
PR,brinquedos,211,117.48009478672985
BA,brinquedos,128,123.493671875
MG,brinquedos,510,118.57768627450982
CE,brinquedos,66,119.83772727272728
ES,brinquedos,100,110.7154
MS,brinquedos,36,110.40472222222223
SC,brinquedos,121,131.4904958677686
AL,brinquedos,12,87.75583333333333
RN,brinquedos,25,78.5808
GO,brinquedos,91,95.74901098901098
PA,brinquedos,30,132.85399999999998
RO,brinquedos,15,205.26999999999998
MA,brinquedos,25,137.6812
PI,brinquedos,29,138.20275862068965
MT,brinquedos,47,128.49510638276595
PB,brinquedos,19,262.7926315789474
SE,brinquedos,11,100.02636363636363
TO,brinquedos,13,143.39615384615382
AM,brinquedos,7,103.08000000000001
AP,brinquedos,3,99.28000000000002
AC,brinquedos,3,78.26333333333334
RJ,cool_stuff,531,158.7896233521657
SP,cool_stuff,1440,154.1369652777778
